🔍 Enter book name,📚 Book Info,🖼️ Book Cover,timestamp
Harry Potter ,"📖 Title: Harry Potter à l'école des sorciers
👤 Author: J. K. Rowling
📅 Published: 2007

📝 Description:
Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Wizards and Witches.","'
    <div style=""text-align:center; margin-top:10px;"">
        <img src=""http://books.google.com/books/content?id=I_ApAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"" width=""160"" style=""border-radius:10px; box-shadow: 0 4px 15px rgba(0,0,0,0.2);"">
    </div>
    ",2026-03-16 12:29:05.381355
harry potter,"📖 Title: Harry Potter: La Collection Complète (1-7)
👤 Author: J.K. Rowling
📅 Published: 2016-01-28
🎭 Genre: Juvenile Fiction

📝 Description:
Harry Potter is leaving Privet Drive for the last time. But as he climbs into the sidecar of Hagrid’s motorbike and they take to the skies, he knows Lord Voldemort and the Death Eaters will not be far behind.

The protective charm that has kept him safe until now is broken. But the Dark Lord is breathing fear into everything he loves. And he knows he can’t keep hiding.

To stop Voldemort, Harry knows he must find the remaining Horcruxes and destroy them.

He will have to face his enemy in one final battle.

([source])","'
    <div style=""text-align:center; margin-top:10px;"">
        <img src=""http://books.google.com/books/content?id=q7B2CwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"" width=""250"" style=""border-radius:10px; box-shadow: 0 4px 15px rgba(0,0,0,0.2);"">
    </div>
    ",2026-03-16 23:17:00.443664
